# Constructed from biom file
#OTU ID	MB1	IM2	MM2	MB2	NEB1	IB2	NEM2	IM1	MM1	NEM1	NLB1	IB1	NLB2	NEE2	NLM2	IE2	NLM1	NLE2	IE1	NEB2	NLE1	ME2	ME1	NEE1
0e01bfc0a63c816dea00ac02437eda2c09a14516	4.0	20.0	1.0	0.0	0.0	7.0	2.0	12.0	4.0	6.0	0.0	2.0	0.0	0.0	13.0	0.0	7.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
b1716b8830e6ff806f39c42f836b7d589b21debf	1.0	24.0	11.0	3.0	0.0	0.0	2.0	17.0	11.0	5.0	0.0	1.0	0.0	0.0	19.0	0.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
b93b7ea1ec7f2c5e412dd039bd1f7b62f68f3b0e	0.0	3.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	14.0	1.0	4.0	3.0	0.0	0.0	1.0	5.0	1.0
fbb77083917b83c41f6b9b7fae9fe6b5844f1c42	0.0	40.0	10.0	0.0	1.0	0.0	8.0	24.0	6.0	20.0	0.0	1.0	0.0	0.0	18.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1eda21379287d0d24c2615af061e360714f3c5c3	2.0	0.0	0.0	0.0	11.0	2.0	1.0	3.0	0.0	14.0	0.0	1.0	1.0	11.0	2.0	5.0	1.0	0.0	0.0	14.0	0.0	0.0	1.0	6.0
e742bedcd81b6f72d3cb4b4bc788f27178492872	1.0	4.0	0.0	0.0	0.0	3.0	1.0	12.0	1.0	2.0	0.0	1.0	3.0	0.0	8.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
2bc72c556b3a85ac6613d0b24fe255d45f471a91	1.0	5.0	0.0	1.0	0.0	1.0	0.0	8.0	2.0	2.0	0.0	3.0	1.0	4.0	2.0	4.0	0.0	20.0	2.0	0.0	4.0	1.0	4.0	8.0
f41f937b87fd112d060653fd695a5a6bfca18e4d	0.0	6.0	3.0	1.0	0.0	0.0	1.0	6.0	2.0	4.0	0.0	0.0	0.0	0.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
52a0c710aeea58c1ce5466c1bdfeaecbf33ea278	3.0	10.0	4.0	11.0	0.0	3.0	3.0	6.0	2.0	3.0	2.0	2.0	3.0	0.0	12.0	4.0	5.0	1.0	0.0	0.0	2.0	0.0	1.0	1.0
8bfef7f124e213f639a78cc7046afe816971cd8c	4.0	7.0	0.0	0.0	4.0	5.0	2.0	5.0	0.0	3.0	3.0	2.0	5.0	5.0	4.0	2.0	3.0	1.0	0.0	2.0	0.0	0.0	0.0	2.0
